TimeCreated,id,Symbol,Name,Sector,Deleted,Info,TimeDeleted,TimeModified,Creator
019-12-30 19:30:30.083803,167,W,Edwards Lifesciences,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,168,A,Electronic Arts,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,169,MR,Emerson Electric Company,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,170,TR,Entergy Corp.,Utilities,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,171,VHC,Envision Healthcare,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,172,OG,EOG Resources,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,173,QT,EQT Corporation,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,174,FX,Equifax Inc.,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,175,QIX,Equinix,Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,176,QR,Equity Residential,Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,177,SS,"Essex Property Trust, Inc.",Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,178,L,Estee Lauder Cos.,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,179,E,Everest Re Group Ltd.,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,180,S,Eversource Energy,Utilities,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,181,XC,Exelon Corp.,Utilities,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,182,XPE,Expedia Inc.,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,183,XPD,Expeditors International,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,184,SRX,Express Scripts,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,185,XR,Extra Space Storage,Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,186,OM,Exxon Mobil Corp.,Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,187,FIV,F5 Networks,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,188,B,"Facebook, Inc.",Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,189,AST,Fastenal Co,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,190,RT,Federal Realty Investment Trust,Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,191,DX,FedEx Corporation,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,192,IS,Fidelity National Information Services,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,193,ITB,Fifth Third Bancorp,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,194,E,FirstEnergy Corp,Utilities,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,195,ISV,Fiserv Inc,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,196,LIR,FLIR Systems,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,197,LS,Flowserve Corporation,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,198,LR,Fluor Corp.,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,199,MC,FMC Corporation,Materials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,200,L,Foot Locker Inc,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,201,,Ford Motor,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,202,TV,Fortive Corp,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,203,BHS,Fortune Brands Home & Security,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,204,EN,Franklin Resources,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,205,CX,Freeport-McMoRan Inc.,Materials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,206,PS,Gap Inc.,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,207,RMN,Garmin Ltd.,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,208,T,Gartner Inc,Information Technology,0,,,2019-12-30 19:30:30.107017,
